accession.mi	accession.mimat
MI0000224	MIMAT0000211
MI0000225	MIMAT0000212
MI0000226	MIMAT0022690
MI0000227	MIMAT0000214
MI0000228	MIMAT0000215
MI0000229	MIMAT0016997
MI0000230	MIMAT0000217
MI0000231	MIMAT0000218
MI0000232	MIMAT0000220
MI0000233	MIMAT0000221
MI0000234	MIMAT0000222
MI0000235	MIMAT0004544
MI0000236	MIMAT0000224
MI0000237	MIMAT0000225
MI0000238	MIMAT0000226
MI0000239	MIMAT0022691
MI0000240	MIMAT0000228
MI0000241	MIMAT0000229
MI0000242	MIMAT0000231
MI0000243	MIMAT0004545
MI0000244	MIMAT0000234
MI0000245	MIMAT0004546
MI0000246	MIMAT0004547
MI0000247	MIMAT0000237
MI0000248	MIMAT0000238
MI0000249	MIMAT0017004
MI0000250	MIMAT0000240
MI0000251	MIMAT0026474
MI0000252	MIMAT0000242
MI0000253	MIMAT0004549
MI0000254	MIMAT0000244
MI0000255	MIMAT0000245
MI0000256	MIMAT0000246
MI0000257	MIMAT0017006
MI0000259	MIMAT0000248
MI0000261	MIMAT0000250
MI0000262	MIMAT0000251
MI0000263	MIMAT0000252
MI0000264	MIMAT0000252
MI0000265	MIMAT0000252
MI0000266	MIMAT0000253
MI0000267	MIMAT0000254
MI0000268	MIMAT0000255
MI0000269	MIMAT0000256
MI0000270	MIMAT0000257
MI0000271	MIMAT0000258
MI0000272	MIMAT0000259
MI0000273	MIMAT0000261
MI0000274	MIMAT0004561
MI0000279	MIMAT0000226
MI0000281	MIMAT0000231
MI0000282	MIMAT0000263
MI0000283	MIMAT0031890
MI0000284	MIMAT0000265
MI0000285	MIMAT0000266
MI0000286	MIMAT0026475
MI0000287	MIMAT0000268
MI0000288	MIMAT0022695
MI0000289	MIMAT0000256
MI0000290	MIMAT0004564
MI0000291	MIMAT0000272
MI0000292	MIMAT0000273
MI0000293	MIMAT0000274
MI0000294	MIMAT0000275
MI0000295	MIMAT0000275
MI0000296	MIMAT0000276
MI0000298	MIMAT0004568
MI0000299	MIMAT0004569
MI0000300	MIMAT0004570
MI0000301	MIMAT0000281
MI0000302	MIMAT0015111
MI0000303	MIMAT0000283
MI0000304	MIMAT0000284
MI0000305	MIMAT0015113
MI0000306	MIMAT0020328
MI0000307	MIMAT0020777
MI0000308	MIMAT0020329
MI0000309	MIMAT0020330
MI0000310	MIMAT0020331
MI0000311	MIMAT0020332
MI0000312	MIMAT0000292
MI0000313	MIMAT0015114
MI0000314	MIMAT0000294
MI0000315	MIMAT0000295
MI0000316	MIMAT0015116
MI0000317	MIMAT0000297
MI0000318	MIMAT0000298
MI0000319	MIMAT0015117
MI0000320	MIMAT0000300
MI0000321	MIMAT0020336
MI0000322	MIMAT0020337
MI0000323	MIMAT0015119
MI0000324	MIMAT0000304
MI0000325	MIMAT0020338
MI0000326	MIMAT0020339
MI0000327	MIMAT0000307
MI0000328	MIMAT0000308
MI0000329	MIMAT0000309
MI0000330	MIMAT0031891
MI0000331	MIMAT0020341
MI0000333	MIMAT0000311
MI0000336	MIMAT0000314
MI0000338	MIMAT0000316
MI0000342	MIMAT0004571
MI0000343	MIMAT0000319
MI0000344	MIMAT0000320
MI0000345	MIMAT0000321
MI0000346	MIMAT0000322
MI0000347	MIMAT0000323
MI0000348	MIMAT0000324
MI0000349	MIMAT0000325
MI0000350	MIMAT0000326
MI0000351	MIMAT0000327
MI0000352	MIMAT0000328
MI0000353	MIMAT0000329
MI0000354	MIMAT0000330
MI0000355	MIMAT0000332
MI0000356	MIMAT0020801
MI0000357	MIMAT0020802
MI0000358	MIMAT0000335
MI0000359	MIMAT0000336
MI0000360	MIMAT0020804
MI0000361	MIMAT0020805
MI0000362	MIMAT0020806
MI0000363	MIMAT0020807
MI0000364	MIMAT0000342
MI0000365	MIMAT0000343
MI0000366	MIMAT0000344
MI0000367	MIMAT0000346
MI0000368	MIMAT0000347
MI0000369	MIMAT0020811
MI0000370	MIMAT0000349
MI0000371	MIMAT0000350
MI0000373	MIMAT0020813
MI0000374	MIMAT0020814
MI0000375	MIMAT0020815
MI0000376	MIMAT0020816
MI0000377	MIMAT0020817
MI0000378	MIMAT0000357
MI0000379	MIMAT0020819
MI0000380	MIMAT0020820
MI0000381	MIMAT0000360
MI0000382	MIMAT0020821
MI0000383	MIMAT0000362
MI0000384	MIMAT0000363
MI0000385	MIMAT0000364
MI0000387	MIMAT0020823
MI0000388	MIMAT0000366
MI0000389	MIMAT0000367
MI0000390	MIMAT0000369
MI0000391	MIMAT0004573
MI0000392	MIMAT0004574
MI0000393	MIMAT0004575
MI0000394	MIMAT0000374
MI0000395	MIMAT0000375
MI0000397	MIMAT0000375
MI0000398	MIMAT0000376
MI0000399	MIMAT0000377
MI0000400	MIMAT0004578
MI0000401	MIMAT0017008
MI0000402	MIMAT0004579
MI0000403	MIMAT0000381
MI0000404	MIMAT0000382
MI0000405	MIMAT0000383
MI0000406	MIMAT0000385
MI0000407	MIMAT0000386
MI0000408	MIMAT0004583
MI0000409	MIMAT0000388
MI0000410	MIMAT0000389
MI0000411	MIMAT0000390
MI0000412	MIMAT0000391
MI0000413	MIMAT0000392
MI0000414	MIMAT0000393
MI0000415	MIMAT0000395
MI0000416	MIMAT0000396
MI0000417	MIMAT0000397
MI0000418	MIMAT0020832
MI0000419	MIMAT0020833
MI0000420	MIMAT0000400
MI0000421	MIMAT0020835
MI0000422	MIMAT0020836
MI0000423	MIMAT0020837
MI0000424	MIMAT0020838
MI0000425	MIMAT0020839
MI0000426	MIMAT0020840
MI0000427	MIMAT0000407
MI0000428	MIMAT0000408
MI0000429	MIMAT0020843
MI0000430	MIMAT0020844
MI0000431	MIMAT0020845
MI0000432	MIMAT0000412
