accession.mi	accession.mimat
MI0009681	MIMAT0009106
MI0009682	MIMAT0009107
MI0009683	MIMAT0009108
MI0009684	MIMAT0009109
MI0009685	MIMAT0009084
MI0009687	MIMAT0009110
MI0009688	MIMAT0009111
MI0009689	MIMAT0009112
MI0009690	MIMAT0009106
MI0009691	MIMAT0009113
MI0009692	MIMAT0009114
MI0009693	MIMAT0009115
MI0009694	MIMAT0009078
MI0009696	MIMAT0009116
MI0009697	MIMAT0009117
MI0009698	MIMAT0009118
MI0009700	MIMAT0009119
MI0009701	MIMAT0009120
MI0009702	MIMAT0009121
MI0009703	MIMAT0009123
MI0009704	MIMAT0009124
MI0009705	MIMAT0009125
MI0009706	MIMAT0009126
MI0009708	MIMAT0009128
MI0009709	MIMAT0009129
MI0009710	MIMAT0009130
MI0009711	MIMAT0009131
MI0009712	MIMAT0009132
MI0009713	MIMAT0009133
MI0009716	MIMAT0009136
MI0009717	MIMAT0009137
MI0009718	MIMAT0009214
MI0009719	MIMAT0009214
MI0009720	MIMAT0009215
MI0009721	MIMAT0003520
MI0009722	MIMAT0009216
MI0009723	MIMAT0009217
MI0009724	MIMAT0009218
MI0009725	MIMAT0003811
MI0009726	MIMAT0013774
MI0009727	MIMAT0003541
MI0009728	MIMAT0009220
MI0009729	MIMAT0009221
MI0009730	MIMAT0009223
MI0009731	MIMAT0009224
MI0009732	MIMAT0009225
MI0009733	MIMAT0009225
MI0009734	MIMAT0009226
MI0009735	MIMAT0009227
MI0009736	MIMAT0009228
MI0009737	MIMAT0009228
MI0009738	MIMAT0009229
MI0009739	MIMAT0009230
MI0009740	MIMAT0009231
MI0009741	MIMAT0003813
MI0009742	MIMAT0009232
MI0009743	MIMAT0009233
MI0009744	MIMAT0009234
MI0009745	MIMAT0009235
MI0009746	MIMAT0009236
MI0009747	MIMAT0009237
MI0009748	MIMAT0009238
MI0009749	MIMAT0009239
MI0009750	MIMAT0009239
MI0009751	MIMAT0009240
MI0009752	MIMAT0009241
MI0009753	MIMAT0009242
MI0009754	MIMAT0009243
MI0009755	MIMAT0009244
MI0009756	MIMAT0009245
MI0009757	MIMAT0009246
MI0009758	MIMAT0009247
MI0009759	MIMAT0009248
MI0009760	MIMAT0009249
MI0009761	MIMAT0009250
MI0009762	MIMAT0009251
MI0009763	MIMAT0009252
MI0009764	MIMAT0009253
MI0009765	MIMAT0009254
MI0009766	MIMAT0009255
MI0009767	MIMAT0009255
MI0009768	MIMAT0009256
MI0009769	MIMAT0009257
MI0009770	MIMAT0003544
MI0009771	MIMAT0009259
MI0009772	MIMAT0009260
MI0009773	MIMAT0009261
MI0009774	MIMAT0009262
MI0009775	MIMAT0009263
MI0009776	MIMAT0009264
MI0009777	MIMAT0009265
MI0009778	MIMAT0009266
MI0009779	MIMAT0009267
MI0009780	MIMAT0003798
MI0009781	MIMAT0009269
MI0009782	MIMAT0009270
MI0009783	MIMAT0009271
MI0009784	MIMAT0003516
MI0009785	MIMAT0009272
MI0009786	MIMAT0026918
MI0009787	MIMAT0009274
MI0009788	MIMAT0026919
MI0009789	MIMAT0009276
MI0009790	MIMAT0009277
MI0009791	MIMAT0009278
MI0009792	MIMAT0009279
MI0009793	MIMAT0009280
MI0009794	MIMAT0009281
MI0009795	MIMAT0009282
MI0009796	MIMAT0009283
MI0009797	MIMAT0009284
MI0009798	MIMAT0009285
MI0009799	MIMAT0009286
MI0009800	MIMAT0009287
MI0009801	MIMAT0009288
MI0009802	MIMAT0009289
MI0009803	MIMAT0009290
MI0009804	MIMAT0009291
MI0009805	MIMAT0009292
MI0009806	MIMAT0009293
MI0009807	MIMAT0009294
MI0009808	MIMAT0009295
MI0009809	MIMAT0009296
MI0009810	MIMAT0009297
MI0009811	MIMAT0009298
MI0009812	MIMAT0004341
MI0009813	MIMAT0009299
MI0009814	MIMAT0009300
MI0009815	MIMAT0009301
MI0009816	MIMAT0009302
MI0009817	MIMAT0009303
MI0009818	MIMAT0009304
MI0009819	MIMAT0009305
MI0009820	MIMAT0009306
MI0009821	MIMAT0009307
MI0009822	MIMAT0009308
MI0009823	MIMAT0009309
MI0009824	MIMAT0009310
MI0009825	MIMAT0009311
MI0009826	MIMAT0009312
MI0009827	MIMAT0009313
MI0009828	MIMAT0009314
MI0009829	MIMAT0009315
MI0009830	MIMAT0009316
MI0009831	MIMAT0009317
MI0009832	MIMAT0009318
MI0009833	MIMAT0009319
MI0009834	MIMAT0009320
MI0009835	MIMAT0009321
MI0009836	MIMAT0009322
MI0009837	MIMAT0009323
MI0009838	MIMAT0009324
MI0009839	MIMAT0009325
MI0009840	MIMAT0009326
MI0009841	MIMAT0009327
MI0009842	MIMAT0009328
MI0009843	MIMAT0009329
MI0009844	MIMAT0009330
MI0009845	MIMAT0009331
MI0009846	MIMAT0009332
MI0009847	MIMAT0009333
MI0009848	MIMAT0009334
MI0009849	MIMAT0009335
MI0009850	MIMAT0009336
MI0009851	MIMAT0009337
MI0009852	MIMAT0009338
MI0009853	MIMAT0009338
MI0009854	MIMAT0009339
MI0009855	MIMAT0009340
MI0009856	MIMAT0009341
MI0009857	MIMAT0009342
MI0009858	MIMAT0009343
MI0009859	MIMAT0009344
MI0009860	MIMAT0009345
MI0009861	MIMAT0009345
MI0009862	MIMAT0009346
MI0009863	MIMAT0009347
MI0009864	MIMAT0009348
MI0009865	MIMAT0009349
MI0009866	MIMAT0009350
MI0009867	MIMAT0009351
MI0009868	MIMAT0009352
MI0009869	MIMAT0009352
MI0009870	MIMAT0009352
MI0009871	MIMAT0009352
MI0009872	MIMAT0009352
MI0009873	MIMAT0009352
MI0009874	MIMAT0009352
MI0009875	MIMAT0009353
MI0009876	MIMAT0009354
MI0009877	MIMAT0009355
MI0009878	MIMAT0009356
MI0009879	MIMAT0009357
MI0009880	MIMAT0009358
MI0009881	MIMAT0009359
MI0009882	MIMAT0009360
MI0009883	MIMAT0009361
MI0009884	MIMAT0009362
MI0009885	MIMAT0009363
MI0009886	MIMAT0009364
MI0009887	MIMAT0009365
MI0009889	MIMAT0009367
MI0009891	MIMAT0009369
MI0009892	MIMAT0009370
MI0009893	MIMAT0009371
MI0009894	MIMAT0009372
MI0009895	MIMAT0009373
MI0009896	MIMAT0009374
MI0009897	MIMAT0009375
MI0009898	MIMAT0009376
MI0009899	MIMAT0009377
MI0009900	MIMAT0009378
MI0009901	MIMAT0009379
MI0009902	MIMAT0009380
MI0009903	MIMAT0009381
MI0009904	MIMAT0009382
MI0009905	MIMAT0009383
MI0009906	MIMAT0009384
MI0009908	MIMAT0009385
MI0009909	MIMAT0009386
MI0009910	MIMAT0009387
MI0009911	MIMAT0009388
MI0009912	MIMAT0009389
MI0009913	MIMAT0009389
MI0009914	MIMAT0009390
MI0009917	MIMAT0009391
MI0009918	MIMAT0009392
MI0009919	MIMAT0009393
MI0009920	MIMAT0009394
MI0009921	MIMAT0009395
MI0009922	MIMAT0009396
MI0009923	MIMAT0009398
MI0009925	MIMAT0009400
MI0009927	MIMAT0009402
MI0009930	MIMAT0009405
MI0009931	MIMAT0009407
MI0009932	MIMAT0009408
MI0009934	MIMAT0009410
MI0009935	MIMAT0019136
MI0009936	MIMAT0009412
MI0009937	MIMAT0009413
MI0009939	MIMAT0017344
MI0009940	MIMAT0009416
MI0009941	MIMAT0009417
MI0009942	MIMAT0009418
MI0009943	MIMAT0017346
MI0009944	MIMAT0017346
MI0009945	MIMAT0009421
MI0009946	MIMAT0009422
MI0009947	MIMAT0009423
MI0009948	MIMAT0009424
MI0009949	MIMAT0009425
MI0009950	MIMAT0009426
MI0009951	MIMAT0009427
MI0009952	MIMAT0009428
MI0009954	MIMAT0009430
MI0009955	MIMAT0009431
MI0009957	MIMAT0009433
MI0009958	MIMAT0009434
MI0009959	MIMAT0009435
MI0009960	MIMAT0009436
MI0009961	MIMAT0017349
MI0009963	MIMAT0009439
MI0009964	MIMAT0009440
MI0009965	MIMAT0009441
MI0009966	MIMAT0009442
MI0009967	MIMAT0009443
MI0009968	MIMAT0009444
MI0009970	MIMAT0009446
MI0009971	MIMAT0009138
MI0009972	MIMAT0009139
MI0009973	MIMAT0009140
MI0009974	MIMAT0009141
MI0009975	MIMAT0009142
MI0009976	MIMAT0009143
MI0009977	MIMAT0009144
MI0009978	MIMAT0009145
MI0009979	MIMAT0009146
MI0009980	MIMAT0009147
MI0009981	MIMAT0009149
MI0009982	MIMAT0009447
MI0009983	MIMAT0009448
MI0009986	MIMAT0009451
MI0009990	MIMAT0009455
MI0009991	MIMAT0009456
MI0009992	MIMAT0009458
MI0009993	MIMAT0009459
MI0009994	MIMAT0009151
MI0009995	MIMAT0009152
MI0009996	MIMAT0009153
MI0009997	MIMAT0009154
MI0009998	MIMAT0009155
MI0010000	MIMAT0009157
MI0010001	MIMAT0009158
MI0010003	MIMAT0009160
MI0010004	MIMAT0009161
MI0010005	MIMAT0009162
MI0010006	MIMAT0015291
MI0010007	MIMAT0009462
MI0010008	MIMAT0019137
MI0010009	MIMAT0009464
MI0010011	MIMAT0009466
MI0010012	MIMAT0009468
MI0010013	MIMAT0009469
MI0010014	MIMAT0019138
MI0010015	MIMAT0019139
MI0010016	MIMAT0019140
MI0010017	MIMAT0009473
MI0010018	MIMAT0009474
MI0010019	MIMAT0009475
MI0010020	MIMAT0009476
MI0010022	MIMAT0009478
MI0010023	MIMAT0019143
MI0010024	MIMAT0009480
MI0010025	MIMAT0009481
MI0010026	MIMAT0019146
MI0010027	MIMAT0009483
MI0010028	MIMAT0009484
MI0010029	MIMAT0009485
MI0010030	MIMAT0009486
MI0010031	MIMAT0009487
MI0010032	MIMAT0019148
MI0010033	MIMAT0009489
MI0010034	MIMAT0009490
MI0010035	MIMAT0009491
MI0010036	MIMAT0009492
MI0010037	MIMAT0009493
MI0010038	MIMAT0019149
MI0010039	MIMAT0009495
MI0010040	MIMAT0009496
MI0010041	MIMAT0009497
MI0010042	MIMAT0009498
MI0010043	MIMAT0009499
MI0010044	MIMAT0009500
MI0010045	MIMAT0009501
MI0010046	MIMAT0009502
MI0010047	MIMAT0009503
MI0010048	MIMAT0009504
MI0010049	MIMAT0009505
MI0010050	MIMAT0009506
MI0010051	MIMAT0009507
MI0010052	MIMAT0009508
MI0010053	MIMAT0009509
MI0010054	MIMAT0009510
MI0010055	MIMAT0009511
MI0010056	MIMAT0009512
MI0010057	MIMAT0009513
MI0010058	MIMAT0009514
MI0010059	MIMAT0009515
MI0010060	MIMAT0009516
MI0010061	MIMAT0009517
MI0010062	MIMAT0009518
MI0010063	MIMAT0009519
MI0010064	MIMAT0009520
MI0010065	MIMAT0009521
MI0010066	MIMAT0009522
MI0010067	MIMAT0009523
MI0010068	MIMAT0009524
MI0010069	MIMAT0009525
MI0010070	MIMAT0009526
MI0010071	MIMAT0009527
MI0010072	MIMAT0009528
MI0010073	MIMAT0009529
MI0010074	MIMAT0009530
MI0010075	MIMAT0009531
MI0010076	MIMAT0009532
MI0010077	MIMAT0009533
MI0010078	MIMAT0009534
MI0010079	MIMAT0009535
MI0010080	MIMAT0009536
MI0010081	MIMAT0009537
MI0010082	MIMAT0009538
MI0010083	MIMAT0009539
MI0010084	MIMAT0009540
MI0010085	MIMAT0009541
MI0010086	MIMAT0009542
MI0010087	MIMAT0009543
MI0010088	MIMAT0009544
MI0010089	MIMAT0009545
MI0010090	MIMAT0009546
MI0010091	MIMAT0009547
MI0010092	MIMAT0009548
MI0010093	MIMAT0009549
MI0010094	MIMAT0009551
MI0010095	MIMAT0009552
MI0010096	MIMAT0009553
MI0010098	MIMAT0009555
MI0010099	MIMAT0009556
MI0010100	MIMAT0009557
MI0010101	MIMAT0009558
MI0010102	MIMAT0009559
MI0010103	MIMAT0009560
MI0010104	MIMAT0009561
MI0010105	MIMAT0009562
MI0010106	MIMAT0009563
MI0010107	MIMAT0009564
MI0010108	MIMAT0009565
MI0010109	MIMAT0009566
MI0010110	MIMAT0009567
MI0010111	MIMAT0009569
MI0010112	MIMAT0009570
MI0010113	MIMAT0009571
MI0010115	MIMAT0009573
MI0010116	MIMAT0009574
MI0010117	MIMAT0009575
MI0010118	MIMAT0009576
MI0010119	MIMAT0009577
MI0010120	MIMAT0009578
MI0010121	MIMAT0009579
MI0010122	MIMAT0009581
MI0010123	MIMAT0009582
MI0010124	MIMAT0009583
MI0010125	MIMAT0009584
MI0010126	MIMAT0009585
MI0010127	MIMAT0009586
MI0010128	MIMAT0009587
MI0010129	MIMAT0009588
MI0010130	MIMAT0009589
MI0010131	MIMAT0009590
MI0010132	MIMAT0009591
MI0010133	MIMAT0009592
MI0010134	MIMAT0009593
MI0010135	MIMAT0009594
MI0010136	MIMAT0009596
MI0010137	MIMAT0009597
MI0010138	MIMAT0009598
MI0010139	MIMAT0009599
MI0010140	MIMAT0009600
MI0010141	MIMAT0009601
MI0010142	MIMAT0009602
MI0010143	MIMAT0009604
MI0010144	MIMAT0009605
MI0010145	MIMAT0019152
MI0010146	MIMAT0009608
MI0010147	MIMAT0009609
MI0010148	MIMAT0009610
MI0010149	MIMAT0009611
MI0010150	MIMAT0009612
MI0010151	MIMAT0019154
MI0010152	MIMAT0009614
MI0010153	MIMAT0009615
MI0010154	MIMAT0009616
MI0010155	MIMAT0009617
MI0010157	MIMAT0009619
MI0010158	MIMAT0009620
MI0010159	MIMAT0009621
MI0010160	MIMAT0009622
MI0010161	MIMAT0009623
MI0010162	MIMAT0009624
MI0010163	MIMAT0009626
MI0010164	MIMAT0009627
MI0010165	MIMAT0009628
MI0010166	MIMAT0009629
MI0010167	MIMAT0009630
MI0010168	MIMAT0009631
MI0010169	MIMAT0009632
MI0010170	MIMAT0009634
MI0010171	MIMAT0019157
MI0010172	MIMAT0019158
MI0010173	MIMAT0009637
MI0010174	MIMAT0009638
MI0010175	MIMAT0009639
MI0010176	MIMAT0009640
MI0010177	MIMAT0009641
MI0010178	MIMAT0009642
MI0010179	MIMAT0019159
MI0010180	MIMAT0009644
MI0010181	MIMAT0009645
MI0010182	MIMAT0009646
MI0010183	MIMAT0009647
MI0010184	MIMAT0009648
MI0010185	MIMAT0009649
MI0010186	MIMAT0009650
MI0010187	MIMAT0009651
MI0010188	MIMAT0013801
MI0010189	MIMAT0009653
MI0010190	MIMAT0009654
MI0010191	MIMAT0009655
MI0010192	MIMAT0009656
MI0010193	MIMAT0009657
MI0010194	MIMAT0009658
MI0010195	MIMAT0009659
MI0010196	MIMAT0009660
MI0010198	MIMAT0009662
MI0010199	MIMAT0019160
MI0010200	MIMAT0009664
MI0010201	MIMAT0009665
MI0010202	MIMAT0009666
MI0010203	MIMAT0009667
MI0010204	MIMAT0009668
MI0010205	MIMAT0019162
MI0010206	MIMAT0009670
MI0010207	MIMAT0009671
MI0010208	MIMAT0009672
MI0010209	MIMAT0009673
MI0010210	MIMAT0019163
MI0010211	MIMAT0009675
MI0010212	MIMAT0009676
MI0010213	MIMAT0009677
MI0010214	MIMAT0009678
MI0010215	MIMAT0009679
MI0010216	MIMAT0009680
MI0010217	MIMAT0009681
MI0010218	MIMAT0009682
MI0010219	MIMAT0009683
MI0010220	MIMAT0009684
MI0010221	MIMAT0009685
MI0010222	MIMAT0009686
MI0010223	MIMAT0009688
MI0010224	MIMAT0009690
MI0010225	MIMAT0009692
MI0010226	MIMAT0009694
MI0010227	MIMAT0009696
MI0010228	MIMAT0009698
MI0010229	MIMAT0009700
MI0010230	MIMAT0009701
MI0010231	MIMAT0009702
MI0010232	MIMAT0009703
MI0010233	MIMAT0009704
MI0010234	MIMAT0009705
MI0010235	MIMAT0009706
MI0010236	MIMAT0009707
MI0010237	MIMAT0009708
MI0010238	MIMAT0009709
MI0010239	MIMAT0009710
MI0010240	MIMAT0009711
MI0010241	MIMAT0009712
MI0010242	MIMAT0009713
MI0010243	MIMAT0009714
MI0010244	MIMAT0009715
MI0010245	MIMAT0009716
MI0010246	MIMAT0009717
MI0010247	MIMAT0009718
MI0010248	MIMAT0009719
MI0010249	MIMAT0009720
MI0010250	MIMAT0009721
MI0010251	MIMAT0009722
MI0010252	MIMAT0009723
MI0010253	MIMAT0009724
MI0010254	MIMAT0009725
MI0010255	MIMAT0009726
MI0010256	MIMAT0009727
MI0010257	MIMAT0009728
MI0010258	MIMAT0009729
MI0010259	MIMAT0009730
MI0010260	MIMAT0009731
MI0010261	MIMAT0009732
MI0010262	MIMAT0009733
MI0010263	MIMAT0032100
MI0010264	MIMAT0009735
MI0010265	MIMAT0009736
MI0010266	MIMAT0009737
MI0010267	MIMAT0009738
MI0010268	MIMAT0009739
MI0010269	MIMAT0009740
MI0010270	MIMAT0009741
MI0010271	MIMAT0009742
MI0010272	MIMAT0019165
MI0010273	MIMAT0009744
MI0010274	MIMAT0009745
MI0010275	MIMAT0009746
MI0010276	MIMAT0009747
MI0010277	MIMAT0009748
MI0010278	MIMAT0009749
MI0010279	MIMAT0009750
MI0010280	MIMAT0009751
MI0010281	MIMAT0009752
MI0010282	MIMAT0009753
MI0010283	MIMAT0009755
MI0010284	MIMAT0009757
MI0010285	MIMAT0009759
MI0010286	MIMAT0009761
MI0010287	MIMAT0009763
MI0010288	MIMAT0009765
MI0010289	MIMAT0009766
MI0010290	MIMAT0009768
MI0010291	MIMAT0009770
MI0010292	MIMAT0009772
MI0010293	MIMAT0009774
MI0010294	MIMAT0009776
MI0010295	MIMAT0009778
MI0010296	MIMAT0009780
MI0010297	MIMAT0009782
MI0010298	MIMAT0009784
MI0010299	MIMAT0009786
MI0010300	MIMAT0009788
MI0010301	MIMAT0009790
MI0010302	MIMAT0009792
MI0010303	MIMAT0009794
MI0010304	MIMAT0009796
MI0010305	MIMAT0009798
MI0010306	MIMAT0009800
MI0010307	MIMAT0009802
MI0010308	MIMAT0009804
MI0010309	MIMAT0009806
MI0010310	MIMAT0009808
MI0010311	MIMAT0009810
MI0010312	MIMAT0009812
MI0010313	MIMAT0009814
MI0010314	MIMAT0009816
MI0010315	MIMAT0009818
MI0010316	MIMAT0009820
MI0010317	MIMAT0009822
MI0010318	MIMAT0009824
MI0010319	MIMAT0009826
MI0010320	MIMAT0009828
MI0010321	MIMAT0009165
MI0010322	MIMAT0009830
MI0010323	MIMAT0009831
MI0010324	MIMAT0009832
MI0010325	MIMAT0009833
MI0010326	MIMAT0009834
MI0010327	MIMAT0009835
MI0010328	MIMAT0006594
MI0010329	MIMAT0009836
MI0010330	MIMAT0006634
MI0010331	MIMAT0009837
MI0010332	MIMAT0009838
MI0010333	MIMAT0010196
MI0010334	MIMAT0009839
MI0010335	MIMAT0009840
MI0010336	MIMAT0009841
MI0010337	MIMAT0009842
MI0010338	MIMAT0009843
MI0010339	MIMAT0009844
MI0010340	MIMAT0009845
MI0010341	MIMAT0009846
MI0010342	MIMAT0009847
MI0010343	MIMAT0009848
MI0010344	MIMAT0009849
MI0010345	MIMAT0009850
MI0010346	MIMAT0009851
MI0010347	MIMAT0009852
MI0010348	MIMAT0009853
MI0010349	MIMAT0009854
MI0010350	MIMAT0009855
MI0010351	MIMAT0009856
MI0010352	MIMAT0009857
MI0010353	MIMAT0009858
MI0010354	MIMAT0009859
MI0010355	MIMAT0009860
MI0010356	MIMAT0009861
MI0010357	MIMAT0006687
MI0010358	MIMAT0009862
MI0010359	MIMAT0009863
MI0010360	MIMAT0006662
MI0010361	MIMAT0009864
MI0010362	MIMAT0009865
MI0010363	MIMAT0009866
MI0010365	MIMAT0009868
MI0010366	MIMAT0009869
MI0010367	MIMAT0009870
MI0010368	MIMAT0009871
MI0010369	MIMAT0009872
MI0010370	MIMAT0009873
MI0010371	MIMAT0009874
MI0010372	MIMAT0009875
MI0010373	MIMAT0009867
MI0010374	MIMAT0009876
MI0010375	MIMAT0009877
MI0010376	MIMAT0009878
MI0010377	MIMAT0009879
MI0010378	MIMAT0010198
MI0010379	MIMAT0009880
MI0010382	MIMAT0009883
MI0010383	MIMAT0009884
MI0010384	MIMAT0009885
MI0010385	MIMAT0009886
MI0010386	MIMAT0009887
MI0010387	MIMAT0009888
MI0010388	MIMAT0009889
MI0010389	MIMAT0009890
MI0010390	MIMAT0009891
MI0010391	MIMAT0009892
MI0010392	MIMAT0009893
MI0010393	MIMAT0009894
MI0010394	MIMAT0009895
MI0010395	MIMAT0009896
MI0010396	MIMAT0009897
MI0010397	MIMAT0009898
MI0010398	MIMAT0009899
MI0010399	MIMAT0009900
MI0010400	MIMAT0009901
MI0010401	MIMAT0009902
MI0010402	MIMAT0009903
MI0010403	MIMAT0009904
MI0010404	MIMAT0009905
MI0010405	MIMAT0009906
MI0010406	MIMAT0009907
MI0010407	MIMAT0009908
MI0010408	MIMAT0009909
MI0010409	MIMAT0009910
MI0010410	MIMAT0009911
MI0010411	MIMAT0009912
MI0010412	MIMAT0009913
MI0010413	MIMAT0009914
MI0010414	MIMAT0009915
MI0010415	MIMAT0009916
MI0010416	MIMAT0009917
MI0010417	MIMAT0009918
MI0010418	MIMAT0009919
MI0010419	MIMAT0009920
MI0010420	MIMAT0009921
MI0010421	MIMAT0009922
MI0010422	MIMAT0009923
MI0010423	MIMAT0009924
MI0010424	MIMAT0009925
MI0010425	MIMAT0009926
MI0010426	MIMAT0009927
MI0010427	MIMAT0009928
MI0010428	MIMAT0009929
MI0010429	MIMAT0009930
MI0010430	MIMAT0009931
MI0010431	MIMAT0009932
MI0010432	MIMAT0009933
MI0010433	MIMAT0009934
MI0010434	MIMAT0009935
MI0010435	MIMAT0009936
MI0010436	MIMAT0009937
MI0010437	MIMAT0009938
MI0010438	MIMAT0009939
MI0010439	MIMAT0009940
MI0010441	MIMAT0009942
MI0010443	MIMAT0009944
MI0010444	MIMAT0009945
MI0010445	MIMAT0010199
MI0010446	MIMAT0009947
MI0010447	MIMAT0009948
MI0010452	MIMAT0009952
MI0010453	MIMAT0009352
MI0010454	MIMAT0009953
MI0010455	MIMAT0009954
MI0010456	MIMAT0009955
MI0010457	MIMAT0009946
MI0010458	MIMAT0009956
MI0010459	MIMAT0009957
MI0010460	MIMAT0009958
MI0010462	MIMAT0003843
MI0010463	MIMAT0009960
MI0010464	MIMAT0003828
MI0010465	MIMAT0009961
MI0010466	MIMAT0009962
MI0010467	MIMAT0009963
MI0010468	MIMAT0009964
MI0010469	MIMAT0009965
MI0010470	MIMAT0009966
MI0010471	MIMAT0003843
MI0010473	MIMAT0009968
MI0010474	MIMAT0009969
MI0010475	MIMAT0009970
MI0010476	MIMAT0009971
MI0010477	MIMAT0009972
MI0010478	MIMAT0009973
MI0010479	MIMAT0009974
MI0010480	MIMAT0009975
MI0010481	MIMAT0009976
MI0010483	MIMAT0009972
MI0010484	MIMAT0003543
MI0010485	MIMAT0003793
MI0010486	MIMAT0009977
MI0010487	MIMAT0009978
MI0010488	MIMAT0009979
MI0010489	MIMAT0009980
MI0010490	MIMAT0009981
MI0010491	MIMAT0009982
MI0010492	MIMAT0009983
MI0010493	MIMAT0009984
MI0010494	MIMAT0019168
MI0010495	MIMAT0009986
MI0010496	MIMAT0009987
MI0010497	MIMAT0009988
MI0010498	MIMAT0009989
MI0010499	MIMAT0009990
MI0010500	MIMAT0009991
MI0010501	MIMAT0009992
MI0010502	MIMAT0009992
MI0010503	MIMAT0009993
MI0010504	MIMAT0009994
MI0010505	MIMAT0009995
MI0010506	MIMAT0009996
MI0010507	MIMAT0009997
MI0010508	MIMAT0009998
MI0010509	MIMAT0019172
MI0010510	MIMAT0010000
MI0010511	MIMAT0010001
MI0010512	MIMAT0019174
MI0010514	MIMAT0010004
MI0010515	MIMAT0010005
MI0010516	MIMAT0009462
MI0010517	MIMAT0010006
MI0010518	MIMAT0010007
MI0010519	MIMAT0010008
MI0010520	MIMAT0009465
MI0010521	MIMAT0009465
MI0010522	MIMAT0009478
MI0010523	MIMAT0009478
MI0010524	MIMAT0010010
MI0010525	MIMAT0009474
MI0010526	MIMAT0010011
MI0010527	MIMAT0010012
MI0010528	MIMAT0010013
MI0010529	MIMAT0010014
MI0010530	MIMAT0010015
MI0010531	MIMAT0010016
MI0010532	MIMAT0010017
MI0010533	MIMAT0010018
MI0010534	MIMAT0010019
MI0010535	MIMAT0010020
MI0010536	MIMAT0010021
MI0010537	MIMAT0010022
MI0010538	MIMAT0010024
MI0010539	MIMAT0010026
MI0010540	MIMAT0010028
MI0010541	MIMAT0010030
MI0010542	MIMAT0010032
MI0010543	MIMAT0010034
MI0010544	MIMAT0010036
MI0010545	MIMAT0010038
MI0010546	MIMAT0010040
MI0010547	MIMAT0010042
MI0010548	MIMAT0010043
MI0010549	MIMAT0010044
MI0010550	MIMAT0010045
MI0010551	MIMAT0010046
MI0010552	MIMAT0010048
MI0010553	MIMAT0010050
MI0010554	MIMAT0010052
MI0010555	MIMAT0010054
MI0010556	MIMAT0010056
MI0010557	MIMAT0010058
MI0010558	MIMAT0010060
MI0010559	MIMAT0010062
MI0010560	MIMAT0010064
MI0010561	MIMAT0010066
MI0010562	MIMAT0010068
MI0010563	MIMAT0010070
MI0010564	MIMAT0010071
MI0010565	MIMAT0010072
MI0010566	MIMAT0010073
MI0010567	MIMAT0010074
MI0010569	MIMAT0010076
MI0010570	MIMAT0010077
MI0010571	MIMAT0010078
MI0010572	MIMAT0010079
MI0010573	MIMAT0010080
MI0010574	MIMAT0010081
MI0010575	MIMAT0020939
MI0010576	MIMAT0010083
MI0010577	MIMAT0010084
MI0010578	MIMAT0010085
MI0010579	MIMAT0010086
MI0010580	MIMAT0010087
MI0010581	MIMAT0010088
MI0010582	MIMAT0010089
MI0010583	MIMAT0010090
MI0010584	MIMAT0019178
MI0010585	MIMAT0019179
MI0010586	MIMAT0010093
MI0010587	MIMAT0019181
MI0010588	MIMAT0019182
MI0010589	MIMAT0019183
MI0010590	MIMAT0010096
MI0010591	MIMAT0010097
MI0010592	MIMAT0010098
MI0010593	MIMAT0010099
MI0010594	MIMAT0010100
MI0010595	MIMAT0010101
MI0010596	MIMAT0010102
MI0010597	MIMAT0010103
MI0010598	MIMAT0010104
MI0010599	MIMAT0010105
MI0010600	MIMAT0010106
MI0010601	MIMAT0010107
MI0010602	MIMAT0010108
MI0010603	MIMAT0010108
MI0010604	MIMAT0010109
MI0010605	MIMAT0010110
MI0010606	MIMAT0010111
MI0010607	MIMAT0010112
MI0010608	MIMAT0010113
MI0010609	MIMAT0010114
MI0010610	MIMAT0010115
MI0010611	MIMAT0010116
MI0010612	MIMAT0010117
MI0010613	MIMAT0010117
MI0010614	MIMAT0010118
MI0010616	MIMAT0010119
MI0010617	MIMAT0010120
MI0010618	MIMAT0010121
MI0010619	MIMAT0010122
MI0010620	MIMAT0010123
MI0010621	MIMAT0010124
MI0010622	MIMAT0015294
MI0010623	MIMAT0015295
MI0010624	MIMAT0010127
MI0010625	MIMAT0015297
MI0010626	MIMAT0015298
MI0010627	MIMAT0010130
MI0010628	MIMAT0010132
MI0010629	MIMAT0010133
MI0010630	MIMAT0011150
MI0010631	MIMAT0011152
MI0010632	MIMAT0011154
MI0010633	MIMAT0011156
MI0010634	MIMAT0011158
MI0010635	MIMAT0011160
MI0010636	MIMAT0011162
MI0010637	MIMAT0011163
MI0010639	MIMAT0010135
MI0010640	MIMAT0010136
MI0010641	MIMAT0010138
MI0010642	MIMAT0010140
MI0010643	MIMAT0010142
MI0010644	MIMAT0010144
MI0010645	MIMAT0010146
MI0010646	MIMAT0010148
MI0010647	MIMAT0010150
MI0010648	MIMAT0010152
MI0010649	MIMAT0010153
MI0010650	MIMAT0010154
MI0010651	MIMAT0010156
MI0010652	MIMAT0010157
MI0010653	MIMAT0010158
MI0010654	MIMAT0010159
MI0010655	MIMAT0010160
MI0010656	MIMAT0010161
MI0010657	MIMAT0010162
MI0010658	MIMAT0010163
MI0010659	MIMAT0010164
MI0010660	MIMAT0010165
MI0010661	MIMAT0010166
MI0010662	MIMAT0010167
